NIM;KDMK_JUR;KDMK_PUS;NILAI;BOBOT;NM_MKULIAH;SKS;PRESTASI;SMT
16.E1.0186;PBK304B;40144942;A;4;METODE PENGUMPULAN DATA KUALITATIF;3;12;
16.E1.0186;PBK401A;40144943;B;3;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 1;3;9;
16.E1.0186;PBK401B;40144944;B;3;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 2;3;9;
16.E1.0186;PBK402A;40144945;B;3;PSIKOLOGI ORANG SAKIT;2;6;
16.E1.0186;PBK402B;40144946;B;3;PENDAMPINGAN ORANG SAKIT;3;9;
16.E1.0186;PBK403A;40144947;C;2;METODOLOGI PENELITIAN KUANTITATIF;4;8;
16.E1.0186;PBK403B;40144948;B;3;STATISTIKA;4;12;
16.E1.0186;PBK404;40134504;C;2;METODOLOGI PENELITIAN KUALITATIF;2;4;
16.E1.0186;PBK501A;40144949;AB;3,5;PSIKOLOGI ABNORMAL;3;10,5;
16.E1.0186;PBK501B;40144950;AB;3,5;DETEKSI DINI GANGGUAN PSIKOLOGIS;5;17,5;
16.E1.0186;PBK502A;40144951;BC;2,5;PSIKOLOGI KELOMPOK;2;5;
16.E1.0186;PBK502B;40144952;AB;3,5;DINAMIKA KELOMPOK;4;14;
16.E1.0186;PBK503A;40144953;B;3;TEORI RANCANGAN PELATIHAN;2;6;
16.E1.0186;PBK503B;40144954;AB;3,5;PRAKTEK RANCANGAN PELATIHAN;4;14;
16.E1.0186;PBK601A;40144955;B;3;TEORI KEPRIBADIAN;3;9;
16.E1.0186;PBK601B;40144956;AB;3,5;TEKNIK PENGEMBANGAN PRIBADI;4;14;
16.E1.0186;PBK602A;40144957;AB;3,5;SEKSUALITAS MANUSIA;3;10,5;
16.E1.0186;PBK602B;40144958;B;3;PSIKOLOGI KESEHATAN REPRODUKSI;2;6;
16.E1.0186;PBK603A;40144959;AB;3,5;PSIKOLOGI PERDAMAIAN;2;7;
16.E1.0186;PBK603B;40144960;B;3;INTERVENSI TRAUMA;3;9;
16.E1.0186;PBK603C;40144961;AB;3,5;TRANSFORMASI KONFLIK;3;10,5;
16.E1.0186;PBK701A;40144962;B;3;TEORI PEMBERDAYAAN MASYARAKAT;2;6;
16.E1.0186;PBK701B;40144963;AB;3,5;PEMBERDAYAAN MASYARAKAT;3;10,5;
16.E1.0186;PBK702A;40144964;BC;2,5;TEORI DAN KONSEP SUMBER DAYA MANUSIA;3;7,5;
16.E1.0186;PBK702B;40144965;AB;3,5;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 1;2;7;
16.E1.0186;PBK702C;40144966;AB;3,5;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 2;3;10,5;
16.E1.0186;PBK703;40124408;A;4;SKRIPSI;5;20;
16.E1.0186;UKS.101;40990197;A;4;PENDIDIKAN AGAMA;2;8;
16.E1.0186;UKS.102;40032230;BC;2,5;PENDIDIKAN PANCASILA;2;5;
16.E1.0186;UKS103;40990154;A;4;KEWARGANEGARAAN;2;8;
16.E1.0186;UKS410;40990183;A;4;KULIAH KERJA NYATA;2;8;
17.E1.0005;PBK101;40124380;BC;2,5;ENGLISH FOR PSYCHOLOGY 1;2;5;
17.E1.0005;PBK102;40124381;A;4;PSIKOLOGI DASAR;4;16;
17.E1.0005;PBK103;40124382;B;3;PSIKOLOGI KESEHATAN;2;6;
17.E1.0005;PBK104A;40144934;A;4;PSIKOLOGI SOSIAL;3;12;
17.E1.0005;PBK105;40124384;B;3;PERKEMBANGAN MANUSIA;3;9;
17.E1.0005;PBK106;40124385;AB;3,5;BIOPSIKOLOGI;2;7;
17.E1.0005;PBK107;40124386;A;4;PSIKOLOGI KLINIS DASAR;2;8;
17.E1.0005;PBK201;40124387;AB;3,5;ENGLISH FOR PSYCHOLOGY 2;2;7;
17.E1.0005;PBK202A;40144935;AB;3,5;TES PSIKOLOGI 1;3;10,5;
17.E1.0005;PBK202B;40144936;AB;3,5;TES PSIKOLOGI 2;3;10,5;
17.E1.0005;PBK203A;40144937;A;4;PSIKOLOGI PENDIDIKAN;3;12;
17.E1.0005;PBK203B;40144938;A;4;PSIKOLOGI BELAJAR;2;8;
17.E1.0005;PBK204;40124390;B;3;PENULISAN ILMIAH;2;6;
17.E1.0005;PBK205;40124391;AB;3,5;ETIKA PSIKOLOGI;2;7;
17.E1.0005;PBK206A;40155147;A;4;ASESMEN;2;8;
17.E1.0005;PBK301;40124393;AB;3,5;EVALUASI PEMBELAJARAN;4;14;
17.E1.0005;PBK302;40124394;A;4;DASAR KONSELING;4;16;
17.E1.0005;PBK303A;40144939;A;4;TEORI MODIFIKASI PERILAKU;3;12;
17.E1.0005;PBK303B;40144940;A;4;MODIFIKASI PERILAKU TERAPAN;3;12;
17.E1.0005;PBK304A;40144941;AB;3,5;METODE PENGUMPULAN DATA KUANTITATIF;3;10,5;
17.E1.0005;PBK304B;40144942;A;4;METODE PENGUMPULAN DATA KUALITATIF;3;12;
17.E1.0005;PBK401A;40144943;AB;3,5;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 1;3;10,5;
17.E1.0005;PBK401B;40144944;AB;3,5;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 2;3;10,5;
17.E1.0005;PBK402A;40144945;A;4;PSIKOLOGI ORANG SAKIT;2;8;
17.E1.0005;PBK402B;40144946;AB;3,5;PENDAMPINGAN ORANG SAKIT;3;10,5;
17.E1.0005;PBK403A;40144947;B;3;METODOLOGI PENELITIAN KUANTITATIF;4;12;
17.E1.0005;PBK403B;40144948;AB;3,5;STATISTIKA;4;14;
17.E1.0005;PBK404;40134504;A;4;METODOLOGI PENELITIAN KUALITATIF;2;8;
17.E1.0005;PBK501A;40144949;AB;3,5;PSIKOLOGI ABNORMAL;3;10,5;
17.E1.0005;PBK501B;40144950;AB;3,5;DETEKSI DINI GANGGUAN PSIKOLOGIS;5;17,5;
17.E1.0005;PBK502A;40144951;AB;3,5;PSIKOLOGI KELOMPOK;2;7;
17.E1.0005;PBK502B;40144952;A;4;DINAMIKA KELOMPOK;4;16;
17.E1.0005;PBK503A;40144953;A;4;TEORI RANCANGAN PELATIHAN;2;8;
17.E1.0005;PBK503B;40144954;A;4;PRAKTEK RANCANGAN PELATIHAN;4;16;
17.E1.0005;PBK601A;40144955;B;3;TEORI KEPRIBADIAN;3;9;
